125,Montana St.,BSky,"110.0
149","108.0
148","52.6
125","51.6
199","15.8
101","16.0
243","29.2
236","29.4
118","29.5
316","32.1
97","75.2
84","76.8
349","52.8
140","51.5
178","34.9
121","34.5
213"
126,Northern Kentucky,Horz,"108.1
187","109.9
201","52.6
126","54.6
304","16.6
156","19.4
57","32.2
135","32.9
274","34.1
214","38.9
272","73.7
135","69.4
46","55.8
59","53.7
261","32.4
252","37.4
339"
127,Florida,SEC,"125.0
13","93.5
7","52.6
127","46.8
27","16.2
125","15.6
270","43.3
2","22.9
2","39.8
74","34.7
159","69.9
261","71.7
151","58.4
22","45.3
11","28.9
349","33.2
144"
128,St. John's,BE,"121.9
35","97.8
23","52.5
128","47.9
52","15.4
73","20.2
28","38.1
11","32.3
251","42.5
44","33.2
122","73.0
161","73.2
242","52.1
162","47.0
34","35.5
90","33.1
137"
129,Butler,BE,"117.9
61","105.7
110","52.5
129","50.5
142","16.1
120","15.7
263","36.3
36","30.8
172","43.6
27","23.9
6","70.8
230","73.2
243","53.1
122","51.7
185","34.3
159","32.0
80"
130,Navy,Pat,"103.2
270","105.9
115","52.5
130","47.8
49","17.6
216","18.1
114","30.9
180","26.7
33","38.9
95","27.4
27","74.1
117","73.7
267","52.3
153","50.4
129","35.3
97","29.7
20"
131,Purdue Fort Wayne,Horz,"106.0
228","110.8
226","52.5
131","55.0
312","14.0
23","19.8
39","22.1
357","36.2
343","28.2
330","27.7
31","72.5
181","77.9
362","53.2
121","53.9
267","34.5
142","37.7
341"
132,Saint Mary's,WCC,"119.0
50","100.4
44","52.4
132","46.8
28","17.0
180","15.2
289","36.5
30","24.4
6","39.9
72","26.4
17","82.3
1","73.5
255","50.9
205","47.4
41","36.7
43","30.4
40"
133,Arizona St.,B12,"118.0
56","106.9
134","52.4
133","53.5
266","16.4
145","18.9
78","30.0
209","34.0
313","40.3
66","36.0
203","73.6
141","76.5
345","52.5
149","53.7
263","34.9
120","35.4
257"
134,St. Bonaventure,A10,"112.9
107","113.2
266","52.4
134","54.0
287","16.5
149","18.1
112","34.7
68","30.1
144","29.9
312","34.4
153","75.8
63","76.5
344","51.4
190","54.0
273","36.3
54","36.1
291"
135,Houston,B12,"127.7
4","93.8
8","52.4
135","46.5
19","12.9
5","23.3
3","37.4
19","32.1
243","26.5
353","38.7
266","78.0
14","67.9
20","52.8
136","45.8
19","34.6
138","31.7
69"
136,Portland St.,BSky,"103.7
261","101.1
55","52.3
136","47.3
38","18.6
283","18.8
81","31.3
168","28.5
77","35.7
181","46.1
349","70.5
242","75.3
322","52.9
134","49.1
88","34.2
165","29.6
19"
137,Utah Tech,WAC,"107.9
191","110.1
206","52.3
137","50.8
160","18.2
260","18.0
121","28.8
252","34.3
320","29.1
323","35.5
191","71.0
226","73.5
256","53.5
113","54.0
272","33.6
200","29.7
22"
138,Notre Dame,ACC,"113.9
92","105.2
96","52.3
138","50.5
143","17.1
186","14.0
336","32.2
133","25.2
11","34.1
212","34.4
152","69.9
265","74.1
283","52.0
166","52.9
232","35.2
103","31.8
74"
139,Wyoming,MWC,"113.7
98","106.8
130","52.3
139","50.8
161","17.5
207","16.9
182","35.1
57","26.5
25","39.5
78","47.2
355","74.5
102","70.8
102","54.4
88","52.1
202","33.0
228","32.4
96"
140,Northwestern,B10,"117.8
62","105.1
94","52.3
140","49.1
85","12.8
4","16.3
222","29.2
238","33.1
285","36.9
140","35.9
200","74.3
111","72.5
193","54.6
80","50.4
127","32.0
269","31.4
60"
141,Drake,MVC,"109.8
152","112.8
262","52.3
141","52.4
234","14.6
36","14.9
303","26.3
315","29.2
110","36.0
172","33.9
137","71.6
203","67.5
14","51.6
181","51.0
152","35.3
100","36.1
292"
142,San Francisco,WCC,"114.3
87","106.1
118","52.3
142","49.0
83","16.3
133","13.7
346","32.7
116","27.7
54","38.4
104","30.8
67","69.2
282","72.3
181","51.3
194","49.2
97","35.6
87","32.4
93"
143,Stephen F. Austin,Slnd,"111.8
124","100.6
48","52.3
143","45.3
11","14.8
45","17.2
161","34.7
67","29.6
122","29.4
320","33.0
119","66.9
338","71.8
154","50.6
214","46.0
22","36.5
48","29.3
12"
144,Oakland,Horz,"115.7
73","112.5
256","52.3
144","54.0
288","14.4
32","14.9
302","31.0
177","34.0
310","40.3
67","23.5
5","74.7
97","72.5
192","52.6
144","57.3
337","34.5
146","32.7
116"
145,West Virginia,B12,"111.0
133","98.7
27","52.2
145","48.1
58","17.3
199","17.8
131","30.7
185","26.7
34","36.5
157","27.2
26","68.6
299","72.6
203","51.4
189","45.7
17","35.5
91","34.6
215"
146,Sacred Heart,MAAC,"106.6
215","118.3
329","52.2
146","54.5
300","18.4
272","15.5
280","29.2
235","30.7
168","30.3
308","29.5
56","77.8
19","70.0
64","49.9
242","56.1
318","36.3
57","35.1
244"
147,Idaho,BSky,"109.6
156","108.7
163","52.1
147","51.7
205","15.3
67","15.9
249","27.9
278","26.7
35","38.0
114","39.7
282","74.2
113","73.0
232","52.2
160","51.4
176","34.7
136","34.9
232"
148,Troy,SB,"112.8
110","110.1
209","52.1
148","51.3
185","16.6
155","17.8
130","33.3
98","31.9
235","35.5
186","33.4
125","73.1
157","69.2
40","52.8
138","51.4
174","34.2
166","34.1
186"
149,USC,B10,"114.8
79","99.5
34","52.1
149","47.6
41","17.5
213","16.8
194","33.0
105","31.4
208","48.3
1","34.5
154","72.2
184","76.7
348","53.9
98","50.2
123","32.4
253","29.4
17"
150,Rhode Island,A10,"106.8
213","103.8
78","52.0
150","51.2
177","19.1
308","21.7
13","32.8
114","31.1
188","39.1
91","43.4
325","72.1
185","70.6
92","55.8
58","49.2
94","31.3
303","35.9
281"
,,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Rk,Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
151,Weber St.,BSky,"110.3
142","113.8
273","51.9
151","54.0
289","16.5
148","17.3
154","32.3
129","29.0
100","40.5
63","38.7
263","70.7
235","73.0
236","50.8
209","56.7
328","35.9
68","33.0
131"
152,Nebraska Omaha,Sum,"105.1
240","111.5
242","51.9
152","52.5
238","16.9
174","14.9
305","26.4
312","29.3
115","35.8
179","34.1
143","71.7
201","74.4
296","53.5
115","55.4
301","33.1
225","32.7
118"
153,Le Moyne,NEC,"102.8
277","112.5
257","51.9
153","49.5
96","19.0
304","15.5
281","26.6
308","31.5
215","39.9
73","34.0
140","71.8
197","74.1
282","51.5
184","46.2
25","35.0
117","36.6
312"
154,Delaware,CUSA,"101.6
301","112.3
252","51.9
154","50.0
116","18.6
284","14.2
331","22.2
356","30.4
157","28.2
328","29.2
53","74.3
110","76.8
351","50.3
226","49.0
81","35.9
71","34.3
200"
155,Kent St.,MAC,"109.7
154","107.5
143","51.8
155","52.2
227","19.4
320","15.9
255","37.1
23","29.2
108","44.2
18","37.4
234","75.0
91","72.5
191","52.1
164","51.8
188","34.3
158","35.2
250"
156,South Carolina,SEC,"113.3
100","105.2
98","51.8
156","50.3
132","14.6
37","14.5
322","27.7
282","31.1
191","36.8
146","33.5
127","78.5
13","71.9
155","55.3
67","52.1
201","31.5
296","31.2
56"
157,TCU,B12,"112.9
105","100.0
40","51.8
157","50.1
120","15.8
102","19.7
46","32.3
128","29.6
123","36.8
145","32.2
99","72.0
191","70.9
109","52.8
139","49.3
98","33.4
215","34.2
193"
158,Siena,MAAC,"108.5
180","110.0
204","51.8
158","50.0
117","15.8
99","18.3
102","33.2
102","28.2
67","32.7
249","26.9
23","74.3
112","72.9
225","53.7
110","50.7
139","31.8
278","32.6
109"
159,Dayton,A10,"109.3
165","101.4
57","51.8
159","51.4
189","17.1
190","22.9
4","26.7
305","31.3
202","47.4
5","33.9
136","76.0
59","69.7
55","53.9
101","49.5
103","32.6
242","36.0
285"
160,Chattanooga,SC,"102.3
285","115.4
295","51.7
160","52.0
220","14.4
31","14.3
328","21.0
364","31.9
239","32.9
246","42.5
321","76.7
39","71.5
137","52.5
147","52.5
219","33.9
184","34.3
202"
161,IU Indy,Horz,"106.6
216","118.1
327","51.7
161","58.5
363","15.9
113","20.0
33","28.9
250","37.5
356","21.3
365","46.4
351","71.8
198","75.9
338","54.7
79","58.1
349","31.8
276","39.4
361"
162,Hofstra,CAA,"114.7
82","109.7
193","51.7
162","47.7
47","16.8
171","14.9
304","35.2
54","32.3
252","31.4
280","36.0
205","76.5
44","72.8
216","47.8
298","45.9
21","38.0
21","33.6
159"
163,Virginia Tech,ACC,"114.7
83","102.1
61","51.7
163","49.6
102","14.5
35","18.4
95","32.2
131","33.4
295","37.3
129","27.0
24","72.5
180","74.5
298","51.6
178","53.2
247","34.5
143","29.5
18"
164,Wofford,SC,"110.0
148","114.9
286","51.6
164","53.0
256","14.0
20","15.3
284","31.5
154","30.5
161","37.0
139","35.2
174","72.6
174","77.0
355","50.7
213","52.5
220","35.3
99","35.9
279"
165,Lehigh,Pat,"100.4
313","112.4
254","51.6
165","50.9
167","18.2
261","17.7
136","22.1
359","34.3
321","31.7
270","34.8
164","73.5
143","73.3
245","50.6
216","50.6
137","35.4
95","34.4
205"
166,Iona,MAAC,"102.1
289","107.7
144","51.6
166","48.6
74","16.9
176","16.9
181","26.0
322","32.3
256","28.1
331","27.8
33","69.8
268","70.4
81","50.5
218","51.0
153","35.4
96","30.0
29"
167,Radford,BSth,"107.9
193","115.1
291","51.6
167","53.5
267","16.8
173","18.6
91","29.1
242","32.8
270","42.5
45","43.8
330","72.1
188","71.5
140","52.6
145","53.0
238","33.6
199","36.2
297"
168,Northern Arizona,BSky,"105.6
235","118.4
331","51.5
168","56.1
338","16.6
157","17.0
174","24.3
346","33.5
299","31.2
286","30.9
69","68.9
285","74.2
287","49.8
248","54.2
277","36.5
49","39.0
357"
169,Eastern Kentucky,ASun,"109.0
168","119.1
340","51.5
169","55.2
321","17.6
218","14.7
311","32.9
110","31.7
225","29.0
325","38.8
270","72.0
192","73.1
239","50.8
211","57.3
338","34.8
130","34.6
216"
170,South Alabama,SB,"103.7
260","108.3
151","51.5
170","48.6
75","13.6
13","18.4
94","26.0
320","32.3
255","39.6
77","20.8
2","65.9
350","72.8
222","53.4
117","50.9
149","31.8
277","31.5
65"
171,Boise St.,MWC,"115.9
72","102.7
68","51.5
171","52.2
228","16.6
153","15.9
250","31.4
163","23.5
4","44.2
19","35.5
186","76.3
50","70.3
76","51.9
168","52.1
203","33.9
183","34.9
233"
172,American,Pat,"105.0
242","109.8
197","51.4
172","53.0
257","16.6
154","19.1
69","25.6
331","31.3
205","28.1
334","44.0
333","77.1
30","72.3
177","53.2
120","53.8
265","32.8
233","34.4
210"
173,Cal Poly,BW,"107.3
204","115.0
289","51.4
173","55.1
318","21.1
354","16.4
220","30.6
187","30.5
162","37.9
115","35.6
195","76.1
57","72.4
186","52.8
141","56.5
323","33.5
213","35.4
260"
174,UNLV,MWC,"111.5
128","108.1
150","51.4
174","52.5
239","17.5
214","18.4
97","31.5
158","32.4
259","44.1
20","45.8
346","67.9
320","72.1
171","53.0
130","52.8
228","32.3
258","34.7
221"
175,South Florida,Amer,"117.0
66","104.8
88","51.3
175","49.2
90","15.9
111","18.2
107","37.8
15","31.9
233","43.8
22","41.8
315","73.8
131","70.7
96","52.1
163","47.2
38","33.5
210","35.0
243"
176,UNC Asheville,BSth,"104.0
256","110.2
211","51.3
176","51.4
190","18.0
243","15.7
267","29.6
222","31.3
201","40.9
61","38.9
271","70.0
259","68.6
28","49.5
256","53.0
240","36.6
45","32.4
92"
177,Eastern Washington,BSky,"109.5
161","114.5
283","51.2
177","56.6
347","18.5
279","16.6
210","31.5
156","32.7
269","33.5
233","37.3
232","75.1
90","76.7
347","50.4
224","57.4
341","35.2
101","36.9
325"
178,Loyola Marymount,WCC,"103.4
265","104.7
85","51.2
178","48.4
66","18.6
286","17.0
178","26.8
303","32.9
280","30.8
294","31.8
87","67.8
323","74.7
306","50.4
221","46.8
33","34.8
127","34.1
184"
179,Xavier,BE,"113.7
96","106.1
117","51.1
179","53.2
262","14.3
28","17.0
173","26.2
317","29.0
104","28.1
335","32.7
110","70.7
234","68.5
27","48.9
278","54.0
274","36.2
59","34.5
212"
180,Ohio,MAC,"107.1
208","110.7
223","51.1
180","52.6
244","16.7
164","17.5
145","29.3
233","33.4
296","37.1
133","37.5
236","70.5
244","72.8
219","55.2
71","51.7
184","29.7
342","36.2
301"
181,Northern Iowa,MVC,"103.9
258","96.9
21","51.1
181","46.2
17","14.8
43","17.6
138","21.1
363","26.1
20","26.3
357","31.2
77","66.9
339","70.3
78","52.9
133","50.2
124","32.3
259","26.7
2"
182,Houston Christian,Slnd,"105.6
236","119.8
346","51.1
182","56.2
342","19.0
305","17.3
158","30.9
181","32.9
275","37.2
131","30.6
64","68.7
296","72.1
170","50.6
217","56.8
329","34.7
134","36.9
327"
183,Southeast Missouri St.,OVC,"102.5
281","111.1
232","51.1
183","51.9
215","17.2
192","19.3
61","29.4
230","27.6
52","36.7
149","49.6
362","67.3
333","74.1
285","53.5
116","50.7
140","31.3
304","36.1
294"
184,Cal St. Northridge,BW,"108.5
179","108.6
160","51.0
184","51.8
209","18.3
262","15.7
268","32.4
123","25.9
17","37.0
138","36.5
214","66.3
344","75.3
325","52.3
156","51.4
175","32.4
255","34.8
226"
185,Grambling St.,SWAC,"102.2
286","108.9
175","51.0
185","51.5
193","22.1
358","20.7
20","30.6
189","34.0
311","46.3
6","42.4
320","71.6
204","73.3
249","50.8
210","52.1
204","34.2
163","33.6
161"
186,DePaul,BE,"107.9
192","100.5
46","50.9
186","48.1
59","17.9
238","18.1
115","29.6
221","30.9
180","38.0
113","37.7
247","69.9
262","71.5
142","51.0
203","46.1
24","33.9
180","34.7
219"
187,Penn,Ivy,"108.7
174","109.2
180","50.9
187","52.5
240","16.1
121","16.3
224","31.1
173","30.9
179","36.6
153","28.2
36","69.7
271","69.0
37","46.5
328","54.7
285","39.4
10","32.7
111"
188,FIU,CUSA,"108.4
183","108.6
158","50.8
188","52.7
249","17.1
191","20.3
25","32.7
117","36.4
347","40.3
65","35.4
185","68.0
317","70.1
72","50.2
231","52.6
224","34.6
139","35.2
249"
189,San Diego,WCC,"108.3
185","109.4
186","50.8
189","53.9
280","17.7
230","20.1
30","28.7
257","36.5
349","27.5
345","38.9
274","76.1
58","71.3
126","51.4
187","57.2
334","33.3
216","32.7
117"
190,Charleston,CAA,"108.1
188","109.3
182","50.8
190","50.2
125","16.0
114","13.9
340","31.1
172","31.5
212","44.0
21","26.3
15","73.8
133","67.4
12","54.4
89","50.6
135","30.1
335","33.1
140"
191,Cal St. Fullerton,BW,"106.3
220","109.4
187","50.8
191","55.6
332","15.6
89","19.9
37","25.2
338","30.2
150","39.4
83","35.9
199","69.5
274","74.8
308","51.6
180","57.2
333","33.1
222","35.9
280"
192,Middle Tennessee,CUSA,"107.8
194","105.3
101","50.8
192","49.7
108","17.5
209","14.5
326","29.7
217","28.8
90","29.7
314","35.2
179","66.7
342","72.9
228","49.6
254","50.1
119","34.8
131","32.6
105"
193,Bradley,MVC,"111.1
131","108.9
174","50.8
193","52.7
250","13.5
12","20.0
32","27.7
283","28.5
78","36.0
173","37.0
224","74.1
118","70.1
68","49.0
275","51.3
168","35.6
83","36.6
311"
194,Pittsburgh,ACC,"112.6
113","106.2
119","50.8
194","52.1
222","17.2
193","16.8
193","34.8
64","28.2
65","30.9
291","34.0
142","66.1
346","76.5
346","50.8
212","51.9
195","33.8
190","34.9
234"
195,Tennessee Martin,OVC,"101.0
305","106.8
129","50.7
195","45.8
13","22.0
357","18.7
89","37.1
22","31.1
187","42.1
50","37.1
227","67.7
329","66.2
4","53.6
111","47.8
51","31.6
288","28.6
9"
196,Wagner,NEC,"104.6
249","120.5
350","50.7
196","51.5
194","18.4
273","14.7
312","32.4
126","31.3
199","31.4
281","43.7
329","70.1
255","72.8
221","47.1
320","49.5
106","38.0
22","36.5
308"
197,Presbyterian,BSth,"103.9
257","112.9
263","50.7
197","51.1
174","19.7
328","15.1
294","34.0
81","30.2
146","39.4
80","37.6
241","67.8
324","71.4
136","52.1
165","49.8
110","31.6
292","35.6
269"
198,New Orleans,Slnd,"111.8
123","114.2
278","50.7
198","49.7
109","20.9
351","14.0
338","35.5
52","34.6
325","43.3
31","39.6
281","75.2
81","72.9
224","50.2
230","49.6
107","34.3
160","33.2
142"
199,Stony Brook,CAA,"106.1
227","108.9
170","50.7
199","50.5
144","16.8
169","16.7
201","28.9
248","31.9
237","28.9
327","34.2
144","70.5
241","72.0
164","47.8
301","48.8
77","36.1
65","35.4
256"
200,Central Connecticut,NEC,"105.6
237","118.8
337","50.7
200","51.2
178","15.9
110","14.5
325","27.1
299","31.7
231","30.4
305","26.4
18","75.5
72","74.4
294","49.0
273","50.4
131","35.8
74","34.9
230"
,,,Adj. Eff.,,Eff. FG%,,Turnover%,,Off. Reb%,,FT Rate,,FT%,,2P%,,3P%,
Rk,Team,Conf,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.,Off.,Def.
201,Temple,Amer,"112.4
118","110.1
208","50.7
201","50.3
133","14.0
21","16.1
237","30.0
208","31.4
209","43.8
23","32.1
95","75.3
78","71.3
127","49.8
243","51.3
166","34.8
129","32.5
98"
202,Portland,WCC,"105.9
232","108.8
164","50.7
202","53.2
263","19.2
316","17.7
137","28.4
264","32.4
261","35.2
194","35.1
170","72.6
175","75.7
335","53.9
102","52.6
222","30.1
333","36.0
287"
203,Winthrop,BSth,"112.4
116","111.8
244","50.6
203","51.7
206","14.4
29","17.1
168","34.9
63","29.0
97","42.6
42","38.2
252","73.2
155","74.0
275","50.1
232","53.0
239","34.1
172","33.3
147"
204,Missouri St.,CUSA,"109.3
166","108.8
165","50.6
204","51.2
179","17.6
221","18.0
119","32.3
130","33.6
300","45.4
8","39.8
283","67.2
334","72.7
214","53.1
123","51.1
158","31.4
300","34.2
197"
205,South Dakota,Sum,"107.7
195","118.1
326","50.6
205","56.5
346","17.4
205","16.5
214","31.3
166","31.6
220","44.7
14","31.1
73","75.2
86","73.0
230","50.4
222","58.9
357","34.1
173","34.1
187"
206,UNC Wilmington,CAA,"110.7
135","108.9
168","50.6
206","47.5
40","15.1
58","15.0
296","36.0
43","26.6
29","45.1
9","28.2
35","70.6
238","72.6
200","50.0
240","50.7
143","34.4
151","28.8
10"
207,Grand Canyon,MWC,"110.3
141","95.9
17","50.6
207","46.8
29","17.6
215","18.1
113","32.1
139","26.4
24","38.5
102","37.7
245","75.2
79","72.8
217","53.5
114","47.2
36","30.6
323","30.7
46"
208,McNeese St.,Slnd,"114.9
78","105.4
104","50.6
208","49.6
103","15.1
63","24.1
2","37.0
25","36.4
346","38.5
103","42.7
323","76.8
35","71.9
156","52.5
148","48.0
55","31.3
302","34.3
204"
209,Austin Peay,ASun,"106.0
231","104.8
89","50.6
209","50.9
168","15.7
95","19.8
41","29.2
237","29.7
133","36.1
169","32.7
106","73.0
163","68.8
30","50.8
208","52.8
230","33.5
208","32.3
90"
210,Nevada,MWC,"119.7
46","105.2
100","50.5
210","50.8
162","13.7
16","17.4
146","32.1
140","28.9
94","44.4
17","39.2
277","75.8
62","72.6
198","46.5
329","50.8
146","39.4
9","33.9
173"
211,Bethune Cookman,SWAC,"104.3
253","108.0
149","50.5
211","50.9
169","18.7
290","16.2
234","28.0
275","32.1
246","38.2
111","39.0
275","69.4
277","72.3
180","50.1
233","51.2
160","34.2
167","33.6
162"
212,Samford,SC,"106.3
219","117.3
321","50.5
212","53.1
260","12.5
2","13.1
352","26.0
324","27.3
44","42.8
39","33.7
131","67.5
330","76.1
341","51.1
201","51.5
179","33.2
221","37.3
338"
213,Western Michigan,MAC,"108.6
178","118.7
335","50.5
213","53.9
281","17.7
226","13.8
343","31.5
155","31.0
185","32.2
259","37.2
229","71.9
196","70.9
110","49.9
241","55.1
297","34.4
153","35.0
241"
214,Tulane,Amer,"108.7
177","110.8
227","50.4
214","51.2
180","15.2
66","17.9
122","22.3
355","35.9
339","45.0
11","38.0
251","77.0
32","69.6
51","51.7
176","50.4
130","32.5
248","34.9
237"
215,Georgia Tech,ACC,"107.9
190","105.2
99","50.4
215","47.1
34","18.8
295","15.1
292","31.3
167","29.6
125","35.8
176","32.7
107","69.4
275","69.1
39","48.6
283","48.3
65","36.4
52","30.3
36"
216,Mississippi St.,SEC,"111.9
122","102.4
66","50.4
216","48.5
70","16.3
135","13.1
353","32.2
132","29.3
113","32.3
257","32.3
101","68.7
293","74.1
284","53.0
124","50.6
136","30.9
321","30.2
34"
217,Drexel,CAA,"103.0
273","105.0
92","50.4
217","46.6
21","18.6
285","17.0
177","32.2
134","30.9
177","29.9
311","35.9
201","64.6
361","74.0
278","48.2
291","47.4
42","35.7
79","30.0
27"
218,Washington,B10,"116.9
69","100.1
41","50.4
218","49.1
86","15.2
65","15.0
297","35.3
53","28.8
85","32.1
261","31.9
90","77.5
22","72.0
160","51.7
174","50.1
117","31.8
281","31.6
68"
219,Florida St.,ACC,"113.8
94","105.5
108","50.4
219","52.6
245","16.3
140","19.8
43","32.8
113","33.0
282","34.0
219","34.7
161","71.2
220","73.1
240","54.2
91","54.0
271","31.2
306","33.9
176"
220,Mississippi,SEC,"113.2
102","103.5
72","50.3
220","49.1
87","14.6
39","17.4
147","30.5
193","32.9
277","34.2
209","41.6
312","73.8
132","69.1
38","49.8
244","49.0
82","34.1
171","32.8
122"
221,Loyola MD,Pat,"103.2
269","120.7
352","50.3
221","55.2
322","17.3
201","16.0
245","28.9
247","30.2
149","32.2
260","31.8
86","70.5
247","72.8
220","51.5
183","58.2
350","32.6
244","33.5
155"
222,Arkansas St.,SB,"110.3
144","110.9
230","50.3
222","52.0
221","20.0
336","14.8
310","37.0
24","27.0
38","37.8
119","38.2
253","76.3
51","71.6
146","53.0
127","53.5
254","31.3
305","32.9
128"
223,Nicholls St.,Slnd,"105.2
238","110.8
228","50.3
223","54.7
306","17.4
206","21.7
12","27.6
285","35.1
331","35.4
190","40.8
302","66.1
347","76.9
354","49.4
262","55.9
314","34.3
154","35.1
246"
224,Central Michigan,MAC,"104.9
243","114.7
284","50.2
224","54.5
301","18.0
246","16.0
247","29.1
241","34.1
315","30.5
301","41.0
308","70.2
254","69.3
42","51.1
200","54.9
289","32.2
263","36.0
286"
225,Marist,MAAC,"100.4
314","99.8
37","50.2
225","44.5
7","17.1
187","20.3
24","27.4
291","27.5
50","26.9
349","39.3
279","79.1
7","70.9
105","52.3
152","45.5
13","30.9
317","28.4
5"
226,Appalachian St.,SB,"104.7
247","105.4
103","50.2
226","46.4
18","15.6
88","14.6
317","30.6
186","29.6
126","34.7
199","33.2
123","63.1
364","70.7
100","52.2
158","46.5
29","31.9
275","30.9
50"
227,Long Beach St.,BW,"106.3
221","112.6
258","50.2
227","54.5
302","17.7
223","17.7
135","28.0
276","28.4
73","29.8
313","42.5
322","72.8
171","75.8
337","51.7
177","55.2
300","31.5
294","35.6
270"
228,Mount St. Mary's,MAAC,"98.2
343","109.8
198","50.2
228","48.3
64","22.9
363","15.0
301","30.5
192","29.6
127","34.6
201","37.3
231","68.1
313","74.7
305","51.1
197","46.5
30","32.7
241","33.6
163"
229,Army,Pat,"103.4
266","120.6
351","50.2
229","55.3
325","16.8
166","14.6
320","29.3
232","27.5
49","27.8
338","36.6
220","70.5
246","75.3
323","50.1
239","55.7
310","33.6
204","36.5
309"
230,Stetson,ASun,"101.6
299","116.1
308","50.1
230","55.5
331","18.7
289","15.8
258","26.3
314","31.7
232","33.4
235","30.5
63","68.9
286","72.1
169","51.1
198","59.2
359","32.6
245","33.6
164"
231,Campbell,CAA,"110.5
138","114.8
285","50.1
231","56.6
348","18.3
265","17.1
171","32.6
120","31.9
236","44.8
13","38.6
258","71.3
216","74.9
312","51.5
185","56.1
317","32.0
268","38.4
354"
232,UNC Greensboro,SC,"106.2
222","121.0
353","50.1
232","56.3
344","15.5
78","13.0
357","28.4
262","29.9
140","43.2
35","30.7
65","68.0
318","70.5
87","49.7
252","55.9
313","33.8
193","37.8
343"
233,Oregon St.,WCC,"107.2
205","110.1
207","50.0
233","50.4
137","18.2
259","15.9
253","25.2
339","32.9
281","44.4
16","36.0
202","77.4
25","74.1
279","48.7
279","51.4
177","34.4
150","32.6
106"
234,Georgetown,BE,"114.5
85","105.2
97","50.0
234","49.1
88","14.4
30","16.2
226","32.0
143","31.0
184","39.2
84","35.5
188","74.6
98","74.2
286","50.4
223","47.5
46","32.8
235","34.4
211"
235,Little Rock,OVC,"100.8
308","116.6
312","50.0
235","55.0
313","20.2
343","20.3
26","31.2
169","36.7
350","28.0
337","31.4
81","68.8
290","69.6
52","48.6
284","55.4
302","35.5
89","36.3
305"
236,Incarnate Word,Slnd,"106.9
212","115.0
288","49.9
236","54.1
290","16.8
170","16.8
191","31.5
157","32.1
245","34.5
203","44.2
337","69.6
272","73.3
250","47.8
299","56.1
319","35.6
84","33.6
160"
237,UMass Lowell,AE,"101.7
297","115.5
299","49.9
237","53.8
276","19.8
332","14.8
309","31.3
165","29.7
132","35.6
184","29.8
57","65.6
354","75.0
316","50.3
228","54.1
276","32.6
246","35.5
266"
238,Kennesaw St.,CUSA,"109.5
158","108.9
173","49.9
238","47.6
42","17.4
203","15.6
271","36.9
28","30.7
167","45.9
7","47.2
354","70.9
227","73.5
257","50.3
227","45.1
10","32.9
231","34.4
209"
239,Northwestern St.,Slnd,"104.7
245","116.7
314","49.9
239","55.6
333","18.8
299","17.0
179","26.0
326","34.4
323","41.2
58","40.8
301","74.4
107","70.9
106","49.4
263","56.0
315","33.8
189","36.6
314"
240,Stanford,ACC,"114.1
90","103.6
74","49.9
240","51.8
210","16.2
128","19.0
71","33.5
92","29.3
112","39.4
81","41.6
311","71.9
193","75.1
318","48.9
277","52.4
217","34.2
164","33.8
170"
241,Seattle,WCC,"101.9
294","96.6
20","49.8
241","48.2
62","17.2
195","21.8
11","24.8
342","33.5
298","32.7
248","33.6
129","69.9
263","72.6
201","49.7
249","49.0
83","33.2
219","31.2
54"
242,Fresno St.,MWC,"103.4
264","101.3
56","49.8
242","50.2
126","19.6
325","19.8
45","28.8
251","29.7
134","33.8
223","28.7
43","75.8
65","71.6
147","51.4
186","55.8
311","31.7
282","28.5
7"
243,Southern Illinois,MVC,"103.0
275","100.7
50","49.8
243","48.6
76","17.7
224","18.2
109","29.8
212","28.8
89","35.6
183","34.6
158","66.7
343","70.2
75","52.5
146","50.7
141","28.5
353","30.2
35"
244,Holy Cross,Pat,"100.3
315","116.6
313","49.8
244","55.0
314","16.1
117","14.8
307","21.5
362","28.5
79","29.5
318","28.2
38","74.0
123","73.0
233","50.3
225","58.0
348","32.8
236","33.7
167"
245,Southern Utah,WAC,"103.9
259","113.5
270","49.8
245","53.9
282","20.2
342","14.7
314","27.3
292","34.6
326","31.6
274","28.2
37","72.1
186","70.6
93","51.0
204","51.7
186","31.7
286","39.2
360"
246,Quinnipiac,MAAC,"106.0
230","108.5
156","49.8
246","49.8
113","15.8
104","17.7
134","32.6
118","32.9
273","31.5
277","30.7
66","70.4
248","72.5
195","48.5
286","47.7
49","35.0
112","35.7
273"
247,Wichita St.,Amer,"113.2
101","105.3
102","49.8
247","48.1
60","15.0
57","16.1
239","39.1
7","30.0
142","37.0
135","34.0
141","68.8
288","70.5
86","47.9
295","49.1
89","35.6
85","30.8
47"
248,Texas Southern,SWAC,"102.9
276","117.2
320","49.7
248","55.3
326","18.8
296","15.8
259","27.6
287","31.5
214","40.0
71","46.0
347","70.8
231","72.4
189","49.3
265","57.6
344","33.5
214","34.7
220"
