id,date,start_time,away_team,home_team,sl_away_pred,sl_home_pred,gdo_away_pred,gdo_home_pred,gdo_v4_favorite,gdo_v4_confidence,away_result,home_result,moneyline_favorite_team,total_line,runline_favorite_team,runline_value,underdog_runline_odds,favorite_runline_odds,over_total_line_odds,under_total_line_odds,underdog_moneyline_odds,favorite_moneyline_odds
30917,20260120,17:00,STLOU,DUQ,84,75,83,70,STLOU,85.1,81,77,STLOU,166.5,STLOU,-9.5,-112,-108,-105,-115,370,-485
30918,20260120,17:00,M-OH,KENT,86,79,82,78,M-OH,55.7,107,101,M-OH,169.5,M-OH,-1.5,-125,105,-112,-108,-108,-112
30919,20260120,17:00,LOYIL,STBON,66,77,71,75,STBON,81.4,70,84,STBON,147.5,STBON,-11.5,-110,-110,-115,-105,525,-750
30920,20260120,17:00,SH,SJU,65,78,66,78,SJU,86.9,60,65,SJU,144.5,SJU,-9.5,-108,-112,-112,-108,525,-750
30921,20260120,17:00,FSU,MIA,74,87,75,78,MIA,59.7,65,63,MIA,165.5,MIA,-11.5,-108,-112,-115,-105,575,-850
30922,20260120,17:00,NIU,OHIO,66,83,67,80,OHIO,84.7,77,80,OHIO,153.5,OHIO,-12.5,-112,-108,-105,-115,575,-850
30923,20260120,17:00,BGSU,WMU,79,75,76,74,BGSU,52.5,72,54,BGSU,155.5,BGSU,-7.5,-115,-105,-110,-110,240,-298
30924,20260120,17:00,BALL,CMU,70,75,70,72,CMU,52.6,68,67,CMU,142.5,CMU,-1.5,-120,100,-115,-105,-105,-115
30925,20260120,17:00,OKLA,SCAR,77,78,80,74,SCAR,52.9,76,85,SCAR,149.5,SCAR,-1.5,-115,-105,-115,-105,110,-130
30926,20260120,17:00,MATC,SCST,,,,,,,50,56,,,,,,,,,,
30927,20260120,17:30,DPAUL,BUT,71,79,70,77,BUT,70.8,80,87,BUT,150.5,BUT,-7.5,-105,-115,-105,-115,260,-325
30928,20260120,18:00,EVAN,UIC,64,74,61,77,UIC,85.7,49,76,UIC,137.5,UIC,-9.5,-115,-105,-108,-112,330,-425
30929,20260120,18:00,OKST,TCU,75,81,76,81,TCU,63.4,65,68,TCU,162.5,TCU,-8.5,-110,-110,-108,-112,320,-410
30930,20260120,18:30,RUTG,IOWA,66,85,63,75,IOWA,74.0,62,68,IOWA,138.5,IOWA,-19.5,-112,-108,-115,-105,1200,-2400
30931,20260120,18:30,BSU,WYO,70,79,75,64,BSU,80.0,81,65,BSU,146.5,BSU,-1.5,-120,100,-110,-110,-108,-112
30932,20260120,18:30,UTM,SEMO,71,75,69,72,SEMO,75.3,50,66,SEMO,140.5,SEMO,-2.5,-110,-110,-108,-112,124,-142
30933,20260120,19:00,MSU,ORE,75,69,75,63,MSU,86.0,68,52,MSU,140.5,MSU,-10.5,-112,-108,-105,-115,455,-625
30934,20260120,19:00,SMU,WAKE,80,79,81,76,SMU,54.9,91,79,SMU,159.5,SMU,-1.5,-122,-102,-112,-108,-108,-112
30935,20260120,19:00,AFA,CSU,61,83,55,74,CSU,98.7,52,81,CSU,132.5,CSU,-20.5,-108,-112,-110,-110,1500,-3600
30936,20260120,19:00,UGA,MIZZ,82,83,77,78,UGA,53.8,74,72,UGA,164.5,UGA,-1.5,-120,100,-115,-105,-102,-118
30937,20260120,19:00,UTAH,KSU,76,83,76,81,KSU,65.0,78,81,KSU,169.5,KSU,-8.5,-112,-108,-108,-112,390,-520
30938,20260120,19:00,AUB,MISS,79,78,76,69,AUB,66.1,78,66,AUB,149.5,AUB,-2.5,-110,-110,-105,-115,142,-162
30939,20260120,19:00,TTU,BAY,80,79,82,75,TTU,72.9,92,73,TTU,155.5,TTU,-1.5,-105,-115,-112,-108,110,-130
30940,20260120,19:10,VAN,ARK,84,85,79,86,ARK,71.3,68,93,ARK,172.5,ARK,-1.5,-110,-110,-112,-108,110,-130
30941,20260120,20:00,SJSU,NEV,67,80,61,74,NEV,98.8,54,87,NEV,140.5,NEV,-18.5,-115,-105,-112,-108,1200,-2400
30942,20260120,20:00,PUR,UCLA,79,75,75,69,UCLA,52.9,67,69,PUR,146.5,PUR,-5.5,-108,-112,-115,-105,210,-258
30943,20260120,21:00,UNLV,USU,68,84,65,81,USU,88.9,86,76,USU,156.5,USU,-16.5,-105,-115,-105,-115,1000,-1800
30944,20260120,21:10,KU,COLO,77,74,80,68,KU,74.0,75,69,KU,155.5,KU,-4.5,-105,-115,-112,-108,170,-205
30945,20260121,16:00,UNCG,VMI,76,72,74,70,UNCG,75.2,85,78,UNCG,150.5,UNCG,-2.5,-108,-112,-110,-110,124,-142
30946,20260121,16:00,LAF,BU,70,78,68,71,BU,60.5,73,77,BU,146.5,BU,-5.5,-115,-105,-108,-112,180,-218
30947,20260121,16:00,UNCA,USCU,75,74,72,68,UNCA,75.6,83,69,USCU,141.5,USCU,-1.5,-105,-115,-105,-115,105,-125
30948,20260121,16:00,SAM,WOF,72,84,74,77,WOF,60.8,78,88,WOF,155.5,WOF,-3.5,-112,-108,-115,-105,145,-175
30949,20260121,16:30,DAY,LASAL,78,64,72,66,DAY,64.2,64,67,DAY,137.5,DAY,-10.5,-118,-102,-110,-110,440,-600
30950,20260121,16:30,RADF,WINT,76,85,78,81,WINT,72.0,75,76,WINT,165.5,WINT,-9.5,-102,-118,-112,-108,410,-550
30951,20260121,17:00,FOR,DAV,68,74,63,68,DAV,81.2,63,68,DAV,132.5,DAV,-4.5,-108,-112,-108,-112,164,-198
30952,20260121,17:00,TULN,FAU,71,83,74,82,FAU,66.2,74,79,FAU,155.5,FAU,-10.5,-110,-110,-108,-112,455,-625
30953,20260121,17:00,ARMY,BUCK,71,74,71,75,BUCK,70.7,87,84,BUCK,144.5,BUCK,-5.5,-108,-112,-110,-110,200,-245
30954,20260121,17:00,WEBB,LONG,69,82,66,86,LONG,99.2,56,91,LONG,155.5,LONG,-15.5,-115,-105,-108,-112,800,-1350
30955,20260121,17:00,CHSO,PRES,71,76,77,76,PRES,73.9,83,87,CHSO,147.5,CHSO,-2.5,-115,-105,-110,-110,120,-142
30956,20260121,17:00,ND,UNC,69,80,68,85,UNC,91.1,69,91,UNC,148.5,UNC,-13.5,-118,-102,-112,-108,650,-1000
30957,20260121,17:00,GTWN,NOVA,69,81,63,72,NOVA,82.6,51,66,NOVA,143.5,NOVA,-8.5,-110,-110,-105,-115,340,-440
30958,20260121,17:00,XAV,CREIG,72,82,78,83,CREIG,60.3,93,94,CREIG,155.5,CREIG,-7.5,-108,-112,-112,-108,280,-355
30959,20260121,17:00,PITT,BC,72,69,71,67,BC,51.5,62,65,PITT,136.5,PITT,-2.5,-110,-110,-110,-110,120,-142
30960,20260121,17:00,HC,NAVY,66,75,63,72,NAVY,85.4,68,85,NAVY,132.5,NAVY,-9.5,-105,-115,-115,-105,410,-550
30961,20260121,17:00,CLEV,WRIG,72,88,77,84,WRIG,75.6,85,79,WRIG,160.5,WRIG,-15.5,-105,-115,-108,-112,950,-1650
30962,20260121,17:00,PFW,DET,80,74,77,76,PFW,60.4,83,76,PFW,155.5,PFW,-3.5,-108,-112,-110,-110,140,-166
30963,20260121,17:00,IUI,OAKD,76,89,77,88,OAKD,54.9,103,85,OAKD,177.5,OAKD,-15.5,-115,-105,-108,-112,900,-1600
30964,20260121,17:00,FUR,CIT,80,65,74,65,FUR,60.4,75,77,FUR,140.5,FUR,-10.5,-115,-105,-108,-112,425,-575
30965,20260121,17:00,WCU,MER,68,84,75,86,MER,78.0,76,88,MER,158.5,MER,-9.5,-115,-105,-112,-108,380,-500
30966,20260121,17:00,TROY,ODU,78,72,76,73,TROY,64.6,83,77,TROY,152.5,TROY,-6.5,-105,-115,-110,-110,235,-290
30967,20260121,17:00,TEX,UK,76,85,70,77,UK,75.8,80,85,UK,151.5,UK,-6.5,-108,-112,-112,-108,240,-298
30968,20260121,17:00,NA,QNNC,74,84,68,82,QNNC,91.8,62,87,QNNC,161.5,QNNC,-10.5,100,-120,-115,-105,550,-800
30969,20260121,17:00,ETNST,CHAT,78,76,73,71,CHAT,55.6,67,66,ETNST,146.5,ETNST,-4.5,-110,-110,-105,-115,180,-218
30970,20260121,17:00,UMD,ILL,68,85,63,79,ILL,80.2,70,89,ILL,148.5,ILL,-18.5,-105,-115,-115,-105,1300,-2800
30971,20260121,17:00,MURR,DRKE,77,76,78,82,DRKE,64.2,90,101,MURR,158.5,MURR,-4.5,-108,-112,-115,-105,180,-218
30972,20260121,17:00,INST,BRAD,72,81,73,78,BRAD,89.8,68,75,BRAD,155.5,BRAD,-7.5,100,-120,-108,-112,310,-395
30973,20260121,17:00,COLG,AMER,73,77,69,76,AMER,66.1,66,70,AMER,149.5,AMER,-2.5,-108,-112,-105,-115,114,-135
30974,20260121,17:00,URI,RICH,72,78,72,66,URI,56.9,69,68,RICH,141.5,RICH,-2.5,-118,-102,-112,-108,114,-135
30975,20260121,17:30,ECU,WCHST,64,80,65,77,WCHST,83.3,60,77,WCHST,145.5,WCHST,-11.5,-102,-118,-108,-112,600,-900
30976,20260121,17:30,LIB,WKU,82,73,77,67,LIB,71.0,76,69,LIB,148.5,LIB,-1.5,-110,-110,-110,-110,105,-125
30977,20260121,17:30,KSW,SHSU,75,86,77,78,SHSU,63.9,87,93,SHSU,163.5,SHSU,-5.5,-110,-110,-112,-108,200,-245
30978,20260121,18:00,MEM,TLSA,73,81,73,78,TLSA,68.2,66,83,TLSA,153.5,TLSA,-5.5,-108,-112,-110,-110,205,-250
30979,20260121,18:00,TAR,TXARL,69,77,68,77,TXARL,71.3,64,71,TXARL,145.5,TXARL,-2.5,-102,-118,-112,-108,130,-155
30980,20260121,18:00,SDAK,NEOM,78,84,75,80,NEOM,71.9,68,64,NEOM,162.5,NEOM,-5.5,-102,-118,-110,-110,205,-250
30981,20260121,18:00,UTSA,UNT,60,76,60,77,UNT,92.3,62,81,UNT,138.5,UNT,-16.5,-115,-105,-108,-112,1000,-1800
30982,20260121,18:00,TEM,RICE,74,72,71,68,TEM,63.4,69,65,TEM,143.5,TEM,-1.5,-110,-110,-105,-115,105,-125
30983,20260121,18:00,SIU,VALP,72,71,67,71,VALP,69.1,63,69,VALP,142.5,VALP,-1.5,-105,-115,-112,-108,110,-130
30984,20260121,18:30,UVSU,SUU,81,64,85,75,SUU,61.3,70,84,UVSU,158.5,UVSU,-12.5,-112,-108,-110,-110,575,-850
30985,20260121,19:00,CIN,ARIZ,68,81,69,84,ARIZ,95.0,51,77,ARIZ,151.5,ARIZ,-13.5,-105,-115,-110,-110,800,-1350
30986,20260121,19:00,WASH,NEB,70,83,64,78,NEB,76.6,66,76,NEB,150.5,NEB,-11.5,-110,-110,-115,-105,525,-750
30987,20260121,19:00,UNI,ILST,68,76,62,68,ILST,66.2,54,59,ILST,131.5,ILST,-8.5,-118,-102,-105,-115,260,-325
30988,20260121,19:00,FRES,UNM,66,81,63,84,UNM,95.1,74,83,UNM,147.5,UNM,-14.5,-115,-105,-105,-115,800,-1350
